=== 节点 (Nodes) ===
id,type,name,category,region,platform,heat_score,sentiment,velocity,keywords
platform_027,platform,华尔街日报,,,,,,,""
platform_028,platform,TikTok,,,,,,,""
platform_029,platform,GitHub趋势,,,,,,,""
platform_030,platform,知乎专题,,,,,,,""
platform_031,platform,极客公园,,,,,,,""
platform_032,platform,Twitch,,,,,,,""
platform_033,platform,Twitter,,,,,,,""
platform_034,platform,YouTube,,,,,,,""
platform_035,platform,Wired,,,,,,,""
platform_036,platform,掘金,,,,,,,""

=== 边 (Edges) ===
source,target,relationship,weight
topic_00115,category_000,belongs_to,1.0
topic_00117,category_000,belongs_to,1.0
topic_00119,category_000,belongs_to,1.0
topic_00126,category_000,belongs_to,1.0
topic_00129,category_000,belongs_to,1.0
topic_00125,category_000,belongs_to,1.0
topic_00118,category_000,belongs_to,1.0
topic_00114,category_000,belongs_to,1.0
topic_00124,category_000,belongs_to,1.0
topic_00111,category_000,belongs_to,1.0
topic_00058,category_001,belongs_to,1.0
topic_00056,category_001,belongs_to,1.0
topic_00044,category_001,belongs_to,1.0
topic_00047,category_001,belongs_to,1.0
topic_00057,category_001,belongs_to,1.0
topic_00053,category_001,belongs_to,1.0
topic_00045,category_001,belongs_to,1.0
topic_00046,category_001,belongs_to,1.0
topic_00040,category_001,belongs_to,1.0
topic_00108,category_002,belongs_to,1.0
topic_00098,category_002,belongs_to,1.0
topic_00099,category_002,belongs_to,1.0
topic_00094,category_002,belongs_to,1.0
topic_00092,category_002,belongs_to,1.0
topic_00109,category_002,belongs_to,1.0
topic_00105,category_002,belongs_to,1.0
topic_00080,category_003,belongs_to,1.0
topic_00087,category_003,belongs_to,1.0
topic_00082,category_003,belongs_to,1.0
topic_00090,category_003,belongs_to,1.0
topic_00077,category_003,belongs_to,1.0
topic_00088,category_003,belongs_to,1.0
topic_00004,category_004,belongs_to,1.0
topic_00025,category_004,belongs_to,1.0
topic_00003,category_004,belongs_to,1.0
topic_00030,category_004,belongs_to,1.0
topic_00005,category_004,belongs_to,1.0
topic_00027,category_004,belongs_to,1.0
topic_00015,category_004,belongs_to,1.0
topic_00034,category_004,belongs_to,1.0
topic_00009,category_004,belongs_to,1.0
topic_00017,category_004,belongs_to,1.0
topic_00032,category_004,belongs_to,1.0
topic_00037,category_004,belongs_to,1.0
topic_00020,category_004,belongs_to,1.0
topic_00071,category_005,belongs_to,1.0
topic_00069,category_005,belongs_to,1.0
topic_00074,category_005,belongs_to,1.0
topic_00070,category_005,belongs_to,1.0
topic_00065,category_005,belongs_to,1.0
topic_00115,keyword_000,has_keyword,1.0
topic_00117,keyword_000,has_keyword,1.0
topic_00108,keyword_000,has_keyword,1.0
topic_00004,keyword_000,has_keyword,1.0
topic_00025,keyword_000,has_keyword,1.0
topic_00003,keyword_000,has_keyword,1.0
topic_00080,keyword_000,has_keyword,1.0
topic_00058,keyword_000,has_keyword,1.0
topic_00087,keyword_000,has_keyword,1.0
topic_00119,keyword_000,has_keyword,1.0
topic_00126,keyword_000,has_keyword,1.0
topic_00056,keyword_000,has_keyword,1.0
topic_00098,keyword_000,has_keyword,1.0
topic_00082,keyword_000,has_keyword,1.0
topic_00071,keyword_000,has_keyword,1.0
topic_00030,keyword_000,has_keyword,1.0
topic_00099,keyword_000,has_keyword,1.0
topic_00005,keyword_000,has_keyword,1.0
topic_00027,keyword_000,has_keyword,1.0
topic_00069,keyword_000,has_keyword,1.0
topic_00044,keyword_000,has_keyword,1.0
topic_00015,keyword_000,has_keyword,1.0
topic_00047,keyword_000,has_keyword,1.0
topic_00129,keyword_000,has_keyword,1.0
topic_00057,keyword_000,has_keyword,1.0
topic_00034,keyword_000,has_keyword,1.0
topic_00090,keyword_000,has_keyword,1.0
topic_00074,keyword_000,has_keyword,1.0
topic_00053,keyword_000,has_keyword,1.0
topic_00009,keyword_000,has_keyword,1.0
topic_00045,keyword_000,has_keyword,1.0
topic_00046,keyword_000,has_keyword,1.0
topic_00017,keyword_000,has_keyword,1.0
topic_00077,keyword_000,has_keyword,1.0
topic_00094,keyword_000,has_keyword,1.0
topic_00092,keyword_000,has_keyword,1.0
topic_00125,keyword_000,has_keyword,1.0
topic_00070,keyword_000,has_keyword,1.0
topic_00088,keyword_000,has_keyword,1.0
topic_00118,keyword_000,has_keyword,1.0
topic_00032,keyword_000,has_keyword,1.0
topic_00114,keyword_000,has_keyword,1.0
topic_00037,keyword_000,has_keyword,1.0
topic_00109,keyword_000,has_keyword,1.0
topic_00020,keyword_000,has_keyword,1.0
topic_00124,keyword_000,has_keyword,1.0
topic_00105,keyword_000,has_keyword,1.0
topic_00111,keyword_000,has_keyword,1.0
topic_00065,keyword_000,has_keyword,1.0
topic_00040,keyword_000,has_keyword,1.0
topic_00115,keyword_001,has_keyword,1.0
topic_00117,keyword_001,has_keyword,1.0
topic_00108,keyword_001,has_keyword,1.0
topic_00004,keyword_001,has_keyword,1.0
topic_00025,keyword_001,has_keyword,1.0
topic_00003,keyword_001,has_keyword,1.0
topic_00080,keyword_001,has_keyword,1.0
topic_00058,keyword_001,has_keyword,1.0
topic_00087,keyword_001,has_keyword,1.0
topic_00119,keyword_001,has_keyword,1.0
topic_00126,keyword_001,has_keyword,1.0
topic_00056,keyword_001,has_keyword,1.0
topic_00098,keyword_001,has_keyword,1.0
topic_00082,keyword_001,has_keyword,1.0
topic_00071,keyword_001,has_keyword,1.0
topic_00030,keyword_001,has_keyword,1.0
topic_00099,keyword_001,has_keyword,1.0
topic_00005,keyword_001,has_keyword,1.0
topic_00027,keyword_001,has_keyword,1.0
topic_00069,keyword_001,has_keyword,1.0
topic_00044,keyword_001,has_keyword,1.0
topic_00015,keyword_001,has_keyword,1.0
topic_00047,keyword_001,has_keyword,1.0
topic_00129,keyword_001,has_keyword,1.0
topic_00057,keyword_001,has_keyword,1.0
topic_00034,keyword_001,has_keyword,1.0
topic_00090,keyword_001,has_keyword,1.0
topic_00074,keyword_001,has_keyword,1.0
topic_00053,keyword_001,has_keyword,1.0
topic_00009,keyword_001,has_keyword,1.0
topic_00045,keyword_001,has_keyword,1.0
topic_00046,keyword_001,has_keyword,1.0
topic_00017,keyword_001,has_keyword,1.0
topic_00077,keyword_001,has_keyword,1.0
topic_00094,keyword_001,has_keyword,1.0
topic_00092,keyword_001,has_keyword,1.0
topic_00125,keyword_001,has_keyword,1.0
topic_00070,keyword_001,has_keyword,1.0
topic_00088,keyword_001,has_keyword,1.0
topic_00118,keyword_001,has_keyword,1.0
topic_00032,keyword_001,has_keyword,1.0
topic_00114,keyword_001,has_keyword,1.0
topic_00037,keyword_001,has_keyword,1.0
topic_00109,keyword_001,has_keyword,1.0
topic_00020,keyword_001,has_keyword,1.0
topic_00124,keyword_001,has_keyword,1.0
topic_00105,keyword_001,has_keyword,1.0
topic_00111,keyword_001,has_keyword,1.0
topic_00065,keyword_001,has_keyword,1.0
topic_00040,keyword_001,has_keyword,1.0
topic_00117,region_000,from_region,0.9
topic_00126,region_000,from_region,0.9
topic_00099,region_000,from_region,0.9
topic_00074,region_000,from_region,0.9
topic_00077,region_000,from_region,0.9
topic_00115,region_001,from_region,0.9
topic_00004,region_001,from_region,0.9
topic_00082,region_001,from_region,0.9
topic_00015,region_001,from_region,0.9
topic_00034,region_001,from_region,0.9
topic_00090,region_001,from_region,0.9
topic_00053,region_001,from_region,0.9
topic_00045,region_001,from_region,0.9
topic_00094,region_001,from_region,0.9
topic_00092,region_001,from_region,0.9
topic_00088,region_001,from_region,0.9
topic_00114,region_001,from_region,0.9
topic_00037,region_001,from_region,0.9
topic_00109,region_001,from_region,0.9
topic_00020,region_001,from_region,0.9
topic_00124,region_001,from_region,0.9
topic_00105,region_001,from_region,0.9
topic_00111,region_001,from_region,0.9
topic_00108,region_002,from_region,0.9
topic_00040,region_002,from_region,0.9
topic_00080,region_003,from_region,0.9
topic_00129,region_003,from_region,0.9
topic_00125,region_003,from_region,0.9
topic_00025,region_004,from_region,0.9
topic_00003,region_004,from_region,0.9
topic_00058,region_004,from_region,0.9
topic_00087,region_004,from_region,0.9
topic_00119,region_004,from_region,0.9
topic_00056,region_004,from_region,0.9
topic_00098,region_004,from_region,0.9
topic_00071,region_004,from_region,0.9
topic_00030,region_004,from_region,0.9
topic_00005,region_004,from_region,0.9
topic_00027,region_004,from_region,0.9
topic_00069,region_004,from_region,0.9
topic_00044,region_004,from_region,0.9
topic_00047,region_004,from_region,0.9
topic_00057,region_004,from_region,0.9
topic_00009,region_004,from_region,0.9
topic_00046,region_004,from_region,0.9
topic_00017,region_004,from_region,0.9
topic_00070,region_004,from_region,0.9
topic_00118,region_004,from_region,0.9
topic_00032,region_004,from_region,0.9
topic_00065,region_004,from_region,0.9
topic_00099,platform_000,published_on,0.8
topic_00037,platform_001,published_on,0.8
topic_00119,platform_002,published_on,0.8
topic_00129,platform_003,published_on,0.8
topic_00125,platform_003,published_on,0.8
topic_00092,platform_004,published_on,0.8
topic_00114,platform_005,published_on,0.8
topic_00071,platform_006,published_on,0.8
topic_00080,platform_007,published_on,0.8
topic_00094,platform_008,published_on,0.8
topic_00124,platform_008,published_on,0.8
topic_00126,platform_009,published_on,0.8
topic_00045,platform_010,published_on,0.8
topic_00109,platform_010,published_on,0.8
topic_00034,platform_011,published_on,0.8
topic_00098,platform_012,published_on,0.8
topic_00025,platform_013,published_on,0.8
topic_00030,platform_013,published_on,0.8
topic_00070,platform_013,published_on,0.8
topic_00105,platform_014,published_on,0.8
topic_00065,platform_015,published_on,0.8
topic_00058,platform_016,published_on,0.8
topic_00046,platform_016,published_on,0.8
topic_00117,platform_017,published_on,0.8
topic_00074,platform_017,published_on,0.8
topic_00077,platform_017,published_on,0.8
topic_00057,platform_018,published_on,0.8
topic_00090,platform_019,published_on,0.8
topic_00004,platform_020,published_on,0.8
topic_00088,platform_021,published_on,0.8
topic_00053,platform_022,published_on,0.8
topic_00115,platform_023,published_on,0.8
topic_00015,platform_023,published_on,0.8
topic_00108,platform_024,published_on,0.8
topic_00040,platform_024,published_on,0.8
topic_00005,platform_025,published_on,0.8
topic_00009,platform_025,published_on,0.8
topic_00118,platform_026,published_on,0.8
topic_00032,platform_026,published_on,0.8
topic_00044,platform_027,published_on,0.8
topic_00017,platform_028,published_on,0.8
topic_00027,platform_029,published_on,0.8
topic_00069,platform_029,published_on,0.8
topic_00020,platform_030,published_on,0.8
topic_00082,platform_031,published_on,0.8
topic_00003,platform_032,published_on,0.8
topic_00056,platform_033,published_on,0.8
topic_00047,platform_034,published_on,0.8
topic_00087,platform_035,published_on,0.8
topic_00111,platform_036,published_on,0.8
topic_00115,topic_00117,related,1.0
topic_00115,topic_00108,related,1.0
topic_00115,topic_00004,related,1.0
topic_00115,topic_00025,related,1.0
topic_00115,topic_00003,related,1.0
topic_00115,topic_00080,related,1.0
topic_00115,topic_00058,related,1.0
topic_00115,topic_00087,related,1.0
topic_00115,topic_00119,related,1.0
topic_00115,topic_00126,related,1.0
topic_00115,topic_00056,related,1.0
topic_00115,topic_00098,related,1.0
topic_00115,topic_00082,related,1.0
topic_00115,topic_00071,related,1.0
topic_00115,topic_00030,related,1.0
topic_00115,topic_00099,related,1.0
topic_00115,topic_00005,related,1.0
topic_00115,topic_00027,related,1.0
topic_00115,topic_00069,related,1.0
topic_00115,topic_00044,related,1.0
topic_00115,topic_00015,related,1.0
topic_00115,topic_00047,related,1.0
topic_00115,topic_00129,related,1.0
topic_00115,topic_00057,related,1.0
topic_00115,topic_00034,related,1.0
topic_00115,topic_00090,related,1.0
topic_00115,topic_00074,related,1.0
topic_00115,topic_00053,related,1.0
topic_00115,topic_00009,related,1.0
topic_00115,topic_00045,related,1.0
topic_00115,topic_00046,related,1.0
topic_00115,topic_00017,related,1.0
topic_00115,topic_00077,related,1.0
topic_00115,topic_00094,related,1.0
topic_00115,topic_00092,related,1.0
topic_00115,topic_00125,related,1.0
topic_00115,topic_00070,related,1.0
topic_00115,topic_00088,related,1.0
topic_00115,topic_00118,related,1.0
topic_00115,topic_00032,related,1.0
topic_00115,topic_00114,related,1.0
topic_00115,topic_00037,related,1.0
topic_00115,topic_00109,related,1.0
topic_00115,topic_00020,related,1.0
topic_00115,topic_00124,related,1.0
topic_00115,topic_00105,related,1.0
topic_00115,topic_00111,related,1.0
topic_00115,topic_00065,related,1.0
topic_00115,topic_00040,related,1.0
topic_00117,topic_00108,related,1.0
topic_00117,topic_00004,related,1.0
topic_00117,topic_00025,related,1.0
topic_00117,topic_00003,related,1.0
topic_00117,topic_00080,related,1.0
topic_00117,topic_00058,related,1.0
topic_00117,topic_00087,related,1.0
topic_00117,topic_00119,related,1.0
topic_00117,topic_00126,related,1.0
topic_00117,topic_00056,related,1.0
topic_00117,topic_00098,related,1.0
topic_00117,topic_00082,related,1.0
topic_00117,topic_00071,related,1.0
topic_00117,topic_00030,related,1.0
topic_00117,topic_00099,related,1.0
topic_00117,topic_00005,related,1.0
topic_00117,topic_00027,related,1.0
topic_00117,topic_00069,related,1.0
topic_00117,topic_00044,related,1.0
topic_00117,topic_00015,related,1.0
topic_00117,topic_00047,related,1.0
topic_00117,topic_00129,related,1.0
topic_00117,topic_00057,related,1.0
topic_00117,topic_00034,related,1.0
topic_00117,topic_00090,related,1.0
topic_00117,topic_00074,related,1.0
topic_00117,topic_00053,related,1.0
topic_00117,topic_00009,related,1.0
topic_00117,topic_00045,related,1.0
topic_00117,topic_00046,related,1.0
topic_00117,topic_00017,related,1.0
topic_00117,topic_00077,related,1.0
topic_00117,topic_00094,related,1.0
topic_00117,topic_00092,related,1.0
topic_00117,topic_00125,related,1.0
topic_00117,topic_00070,related,1.0
topic_00117,topic_00088,related,1.0
topic_00117,topic_00118,related,1.0
topic_00117,topic_00032,related,1.0
topic_00117,topic_00114,related,1.0
topic_00117,topic_00037,related,1.0
topic_00117,topic_00109,related,1.0
topic_00117,topic_00020,related,1.0
topic_00117,topic_00124,related,1.0
topic_00117,topic_00105,related,1.0
topic_00117,topic_00111,related,1.0
topic_00117,topic_00065,related,1.0
topic_00117,topic_00040,related,1.0
topic_00108,topic_00004,related,1.0
topic_00108,topic_00025,related,1.0
topic_00108,topic_00003,related,1.0
topic_00108,topic_00080,related,1.0
topic_00108,topic_00058,related,1.0
topic_00108,topic_00087,related,1.0
topic_00108,topic_00119,related,1.0
topic_00108,topic_00126,related,1.0
topic_00108,topic_00056,related,1.0
topic_00108,topic_00098,related,1.0
topic_00108,topic_00082,related,1.0
topic_00108,topic_00071,related,1.0
topic_00108,topic_00030,related,1.0
topic_00108,topic_00099,related,1.0
topic_00108,topic_00005,related,1.0
topic_00108,topic_00027,related,1.0
topic_00108,topic_00069,related,1.0
topic_00108,topic_00044,related,1.0
topic_00108,topic_00015,related,1.0
topic_00108,topic_00047,related,1.0
topic_00108,topic_00129,related,1.0
topic_00108,topic_00057,related,1.0
topic_00108,topic_00034,related,1.0
topic_00108,topic_00090,related,1.0
topic_00108,topic_00074,related,1.0
topic_00108,topic_00053,related,1.0
topic_00108,topic_00009,related,1.0
topic_00108,topic_00045,related,1.0
topic_00108,topic_00046,related,1.0
topic_00108,topic_00017,related,1.0
topic_00108,topic_00077,related,1.0
topic_00108,topic_00094,related,1.0
topic_00108,topic_00092,related,1.0
topic_00108,topic_00125,related,1.0
topic_00108,topic_00070,related,1.0
topic_00108,topic_00088,related,1.0
topic_00108,topic_00118,related,1.0
topic_00108,topic_00032,related,1.0
topic_00108,topic_00114,related,1.0
topic_00108,topic_00037,related,1.0
topic_00108,topic_00109,related,1.0
topic_00108,topic_00020,related,1.0
topic_00108,topic_00124,related,1.0
topic_00108,topic_00105,related,1.0
topic_00108,topic_00111,related,1.0
topic_00108,topic_00065,related,1.0
topic_00108,topic_00040,related,1.0
topic_00004,topic_00025,related,1.0
topic_00004,topic_00003,related,1.0
topic_00004,topic_00080,related,1.0
topic_00004,topic_00058,related,1.0
topic_00004,topic_00087,related,1.0
topic_00004,topic_00119,related,1.0
topic_00004,topic_00126,related,1.0
topic_00004,topic_00056,related,1.0
topic_00004,topic_00098,related,1.0
topic_00004,topic_00082,related,1.0
topic_00004,topic_00071,related,1.0
topic_00004,topic_00030,related,1.0
topic_00004,topic_00099,related,1.0
topic_00004,topic_00005,related,1.0
topic_00004,topic_00027,related,1.0
topic_00004,topic_00069,related,1.0
topic_00004,topic_00044,related,1.0
topic_00004,topic_00015,related,1.0
topic_00004,topic_00047,related,1.0
topic_00004,topic_00129,related,1.0
topic_00004,topic_00057,related,1.0
topic_00004,topic_00034,related,1.0
topic_00004,topic_00090,related,1.0
topic_00004,topic_00074,related,1.0
topic_00004,topic_00053,related,1.0
topic_00004,topic_00009,related,1.0
topic_00004,topic_00045,related,1.0
topic_00004,topic_00046,related,1.0
topic_00004,topic_00017,related,1.0
topic_00004,topic_00077,related,1.0
topic_00004,topic_00094,related,1.0
topic_00004,topic_00092,related,1.0
topic_00004,topic_00125,related,1.0
topic_00004,topic_00070,related,1.0
topic_00004,topic_00088,related,1.0
topic_00004,topic_00118,related,1.0
topic_00004,topic_00032,related,1.0
topic_00004,topic_00114,related,1.0
topic_00004,topic_00037,related,1.0
topic_00004,topic_00109,related,1.0
topic_00004,topic_00020,related,1.0
topic_00004,topic_00124,related,1.0
topic_00004,topic_00105,related,1.0
topic_00004,topic_00111,related,1.0
topic_00004,topic_00065,related,1.0
topic_00004,topic_00040,related,1.0
topic_00025,topic_00003,related,1.0
topic_00025,topic_00080,related,1.0
topic_00025,topic_00058,related,1.0
topic_00025,topic_00087,related,1.0
topic_00025,topic_00119,related,1.0
topic_00025,topic_00126,related,1.0
topic_00025,topic_00056,related,1.0
topic_00025,topic_00098,related,1.0
topic_00025,topic_00082,related,1.0
topic_00025,topic_00071,related,1.0
topic_00025,topic_00030,related,1.0
topic_00025,topic_00099,related,1.0
topic_00025,topic_00005,related,1.0
topic_00025,topic_00027,related,1.0
topic_00025,topic_00069,related,1.0
topic_00025,topic_00044,related,1.0
topic_00025,topic_00015,related,1.0
topic_00025,topic_00047,related,1.0
topic_00025,topic_00129,related,1.0
topic_00025,topic_00057,related,1.0
topic_00025,topic_00034,related,1.0
topic_00025,topic_00090,related,1.0
topic_00025,topic_00074,related,1.0
topic_00025,topic_00053,related,1.0
topic_00025,topic_00009,related,1.0
topic_00025,topic_00045,related,1.0
topic_00025,topic_00046,related,1.0
topic_00025,topic_00017,related,1.0
topic_00025,topic_00077,related,1.0
topic_00025,topic_00094,related,1.0
topic_00025,topic_00092,related,1.0
topic_00025,topic_00125,related,1.0
topic_00025,topic_00070,related,1.0
topic_00025,topic_00088,related,1.0
topic_00025,topic_00118,related,1.0
topic_00025,topic_00032,related,1.0
topic_00025,topic_00114,related,1.0
topic_00025,topic_00037,related,1.0
topic_00025,topic_00109,related,1.0
topic_00025,topic_00020,related,1.0
topic_00025,topic_00124,related,1.0
topic_00025,topic_00105,related,1.0
topic_00025,topic_00111,related,1.0
topic_00025,topic_00065,related,1.0
topic_00025,topic_00040,related,1.0
topic_00003,topic_00080,related,1.0
topic_00003,topic_00058,related,1.0
topic_00003,topic_00087,related,1.0
topic_00003,topic_00119,related,1.0
topic_00003,topic_00126,related,1.0
topic_00003,topic_00056,related,1.0
topic_00003,topic_00098,related,1.0
topic_00003,topic_00082,related,1.0
topic_00003,topic_00071,related,1.0
topic_00003,topic_00030,related,1.0
topic_00003,topic_00099,related,1.0
topic_00003,topic_00005,related,1.0
topic_00003,topic_00027,related,1.0
topic_00003,topic_00069,related,1.0
topic_00003,topic_00044,related,1.0
topic_00003,topic_00015,related,1.0
topic_00003,topic_00047,related,1.0
topic_00003,topic_00129,related,1.0
topic_00003,topic_00057,related,1.0
topic_00003,topic_00034,related,1.0
topic_00003,topic_00090,related,1.0
topic_00003,topic_00074,related,1.0
topic_00003,topic_00053,related,1.0
topic_00003,topic_00009,related,1.0
topic_00003,topic_00045,related,1.0
topic_00003,topic_00046,related,1.0
topic_00003,topic_00017,related,1.0
topic_00003,topic_00077,related,1.0
topic_00003,topic_00094,related,1.0
topic_00003,topic_00092,related,1.0
topic_00003,topic_00125,related,1.0
topic_00003,topic_00070,related,1.0
topic_00003,topic_00088,related,1.0
topic_00003,topic_00118,related,1.0
topic_00003,topic_00032,related,1.0
topic_00003,topic_00114,related,1.0
topic_00003,topic_00037,related,1.0
topic_00003,topic_00109,related,1.0
topic_00003,topic_00020,related,1.0
topic_00003,topic_00124,related,1.0
topic_00003,topic_00105,related,1.0
topic_00003,topic_00111,related,1.0
topic_00003,topic_00065,related,1.0
topic_00003,topic_00040,related,1.0
topic_00080,topic_00058,related,1.0
topic_00080,topic_00087,related,1.0
topic_00080,topic_00119,related,1.0
topic_00080,topic_00126,related,1.0
topic_00080,topic_00056,related,1.0
topic_00080,topic_00098,related,1.0
